import time: self [us] | cumulative | imported package
import time:       770 |      64499 |               pandas.core.indexes.api
import time:      1109 |      74484 |             pandas.core.indexing
import time:       702 |        702 |             pandas.core.sample
import time:       546 |        546 |             pandas.core.array_algos.replace
import time:      1256 |       1256 |                 pandas.core.internals.blocks
import time:       761 |       2016 |               pandas.core.internals.api
import time:       629 |        629 |                 pandas.core.internals.base
import time:       570 |        570 |                   pandas.core.internals.ops
import time:       845 |       1414 |                 pandas.core.internals.managers
import time:       928 |       2970 |               pandas.core.internals.array_manager
import time:       426 |        426 |               pandas.core.internals.concat
import time:       385 |       5796 |             pandas.core.internals
import time:       647 |        647 |             pandas.core.internals.construction
import time:       463 |        463 |               pandas.core.methods
import time:       754 |        754 |                 pandas.core.reshape
import time:       577 |       1331 |               pandas.core.reshape.concat
import time:       533 |        533 |                   gzip
import time:      3540 |       3540 |                   mmap
import time:       368 |        368 |                       glob
import time:       412 |        779 |                     pathlib._abc
import time:        65 |         65 |                         _winapi
import time:        50 |         50 |                         nt
import time:        44 |         44 |                         nt
import time:        44 |         44 |                         nt
import time:        42 |         42 |                         nt
import time:        41 |         41 |                         nt
import time:        41 |         41 |                         nt
import time:        41 |         41 |                         nt
import time:       186 |        549 |                       ntpath
import time:        55 |         55 |                       pwd
import time:      3053 |       3053 |                       grp
import time:       411 |       4067 |                     pathlib._local
import time:       243 |       5088 |                   pathlib
import time:      1042 |       1042 |                   tarfile
import time:       172 |        172 |                       zipfile._path.glob
import time:       346 |        518 |                     zipfile._path
import time:       674 |       1192 |                   zipfile
import time:      1024 |       1024 |                   pandas.core.shared_docs
import time:      1580 |      13996 |                 pandas.io.common
import time:      1100 |      15095 |               pandas.io.formats.format
import time:       611 |      17499 |             pandas.core.methods.describe
import time:       629 |        629 |                   pandas._libs.window
import time:      9806 |      10435 |                 pandas._libs.window.aggregations
import time:      8545 |       8545 |                   pandas._libs.window.indexers
import time:       947 |       9491 |                 pandas.core.indexers.objects
import time:       876 |        876 |                 pandas.core.util.numba_
import time:       618 |        618 |                 pandas.core.window.common
import time:       386 |        386 |                 pandas.core.window.doc
import time:       504 |        504 |                 pandas.core.window.numba_
import time:       384 |        384 |                 pandas.core.window.online
import time:      1774 |       1774 |                 pandas.core.window.rolling
import time:      1077 |      25542 |               pandas.core.window.ewm
import time:      1314 |       1314 |               pandas.core.window.expanding
import time:       582 |      27437 |             pandas.core.window
import time:      3967 |     131074 |           pandas.core.generic
import time:       824 |        824 |           pandas.core.methods.selectn
import time:       495 |        495 |             pandas.core.reshape.util
import time:       589 |        589 |             pandas.core.tools.numeric
import time:       536 |       1619 |           pandas.core.reshape.melt
import time:     11546 |      11546 |             pandas._libs.reshape
import time:       739 |        739 |             pandas.core.indexes.accessors
import time:       639 |        639 |               pandas.arrays
import time:      1044 |       1682 |             pandas.core.tools.datetimes
import time:      1115 |       1115 |             pandas.io.formats.info
import time:      1244 |       1244 |               pandas.plotting._core
import time:       653 |        653 |               pandas.plotting._misc
import time:       676 |       2572 |             pandas.plotting
import time:      3070 |      20722 |           pandas.core.series
import time:      5778 |     160015 |         pandas.core.frame
import time:      1225 |       1225 |         pandas.core.groupby.base
import time:       158 |        158 |             backports_abc
import time:     32784 |      32941 |           pandas._libs.groupby
import time:       482 |        482 |             pandas.core.groupby.categorical
import time:       961 |       1442 |           pandas.core.groupby.grouper
import time:       831 |      35214 |         pandas.core.groupby.ops
import time:       557 |        557 |           pandas.core.groupby.numba_
import time:       630 |        630 |           pandas.core.groupby.indexing
import time:      2231 |       3417 |         pandas.core.groupby.groupby
import time:      1952 |     215571 |       pandas.core.groupby.generic
import time:       384 |     215954 |     pandas.core.groupby
import time:       867 |     732053 |   pandas.core.api
import time:       457 |        457 |   pandas.tseries.api
import time:       323 |        323 |           pandas.core.computation.common
import time:       543 |        866 |         pandas.core.computation.align
import time:       541 |        541 |             pprint
import time:       596 |       1136 |           pandas.core.computation.scope
import time:       793 |       1928 |         pandas.core.computation.ops
import time:       547 |       3340 |       pandas.core.computation.engines
import time:       468 |        468 |         pandas.core.computation.parsing
import time:      1185 |       1653 |       pandas.core.computation.expr
import time:       416 |       5407 |     pandas.core.computation.eval
import time:       470 |       5877 |   pandas.core.computation.api
import time:       554 |        554 |     pandas.core.reshape.encoding
import time:       979 |        979 |     pandas.core.reshape.merge
import time:      1018 |       1018 |     pandas.core.reshape.pivot
import time:       455 |        455 |     pandas.core.reshape.tile
import time:       554 |       3558 |   pandas.core.reshape.api
import time:       406 |        406 |     pandas.api.extensions
import time:       399 |        399 |     pandas.api.indexers
import time:       549 |        549 |         pandas.core.interchange
import time:      1047 |       1596 |       pandas.core.interchange.dataframe_protocol
import time:       306 |        306 |         pandas.core.interchange.utils
import time:       554 |        860 |       pandas.core.interchange.from_dataframe
import time:       432 |       2886 |     pandas.api.interchange
import time:       327 |        327 |       pandas.core.dtypes.api
import time:       365 |        692 |     pandas.api.types
import time:      1360 |       1360 |       pandas.core.resample
import time:      7486 |       7486 |             pandas._libs.json
import time:       900 |        900 |             pandas.io.json._normalize
import time:       612 |        612 |             pandas.io.json._table_schema
import time:       158 |        158 |                     backports_abc
import time:     12604 |      12761 |                   pandas._libs.parsers
import time:       842 |        842 |                     pandas.io.parsers.base_parser
import time:       720 |       1561 |                   pandas.io.parsers.arrow_parser_wrapper
import time:       595 |        595 |                   pandas.io.parsers.c_parser_wrapper
import time:       619 |        619 |                   pandas.io.parsers.python_parser
import time:      1929 |      17463 |                 pandas.io.parsers.readers
import time:       443 |      17906 |               pandas.io.parsers
import time:        19 |      17924 |             pandas.io.parsers.readers
import time:       998 |      27918 |           pandas.io.json._json
import time:       655 |      28573 |         pandas.io.json
